L M s l' alpha Re(C) Im(C) Im(A)
1 1 1 2 0.469 -0.00145235708673179 -0.00635141590594508 0.532918136783682
1 -1 2 1 0.469 0.00823924006654986 2.10721951799962e-6 0.532918136783682
1 0 2 1 0.469 0 -0.00211854960235221 0.532918136783682
1 1 2 1 0.469 0.00823924006654986 -2.10721951799962e-6 0.532918136783682
1 -1 2 3 0.469 0.00696283452916953 0.00127851275689833 0.532918136783682
1 0 2 3 0.469 -5.165e-19 0.00781425543515689 0.532918136783682
1 1 2 3 0.469 0.00696283452916953 -0.00127851275689833 0.532918136783682
1 -1 0 1 1.093 6.15232071211966e-5 -6.15232071211967e-5 1.24196060448734
1 0 0 1 1.093 -1.132e-19 -0.000478764784169881 1.24196060448734
1 1 0 1 1.093 6.15232071211967e-5 6.15232071211966e-5 1.24196060448734
1 0 1 0 1.093 -0.000587134647212792 6.161e-20 1.24196060448734
1 -1 1 2 1.093 0.000217272795355135 -0.000775193902091864 1.24196060448734
1 0 1 2 1.093 0.00193803015344388 -1.814e-19 1.24196060448734
1 1 1 2 1.093 -0.000217272795355135 -0.000775193902091864 1.24196060448734
1 -1 1 0 1.093 -0.000107221073414525 -0.00109968777086152 1.24196060448734
1 1 1 0 1.093 0.000107221073414525 -0.00109968777086152 1.24196060448734
1 -1 2 1 1.093 0.00232173262794035 -0.000226466378051565 1.24196060448734
1 0 2 1 1.093 0 -0.00123927848815530 1.24196060448734
1 1 2 1 1.093 0.00232173262794035 0.000226466378051565 1.24196060448734
1 -1 2 3 1.093 0.00175091077828303 0.000344355471605748 1.24196060448734
1 0 2 3 1.093 0 0.00320277537149272 1.24196060448734
1 1 2 3 1.093 0.00175091077828303 -0.000344355471605748 1.24196060448734
1 -1 3 2 1.093 0.000142360020068278 0.00145947449838009 1.24196060448734
1 0 3 2 1.093 0.000779028268839989 8.180e-20 1.24196060448734
1 1 3 2 1.093 -0.000142360020068278 0.00145947449838009 1.24196060448734
1 -1 3 4 1.093 -0.000192545010693134 0.00112456946761868 1.24196060448734
1 0 3 4 1.093 -0.00182715470296176 0 1.24196060448734
1 1 3 4 1.093 0.000192545010693133 0.00112456946761868 1.24196060448734
1 -1 0 1 0.0576 1.26340121676034e-5 -1.26340121676034e-5 0.0654500739418765
1 0 0 1 0.0576 0 -9.83160727740790e-5 0.0654500739418765
1 1 0 1 0.0576 1.26340121676034e-5 1.26340121676034e-5 0.0654500739418765
1 -1 0 1 0.0491 -6.78652701044940e-5 6.78652701044940e-5 0.0557916428914260
1 0 0 1 0.0491 0 0.000528117809759212 0.0557916428914260
1 1 0 1 0.0491 -6.78652701044940e-5 -6.78652701044940e-5 0.0557916428914260
1 0 1 0 0.0491 2.12374897751162e-6 0 0.0557916428914260
1 -1 1 2 0.0491 -0.000119451035654759 0.00115752488767432 0.0557916428914260
1 0 1 2 0.0491 -0.000927427098257436 -9.732e-20 0.0557916428914260
1 1 1 2 0.0491 0.000119451035654759 0.00115752488767432 0.0557916428914260
1 -1 1 0 0.0491 0 0.00127697592332908 0.0557916428914260
1 1 1 0 0.0491 0 0.00127697592332908 0.0557916428914260
1 -1 0 1 0.151 1.09140073845542e-5 -1.09140073845542e-5 0.171579186896239
1 0 0 1 0.151 -8.898e-21 -8.49312419555958e-5 0.171579186896239
1 1 0 1 0.151 1.09140073845542e-5 1.09140073845542e-5 0.171579186896239
1 -1 1 0 0.151 4.14906829197833e-7 -0.000205548144239395 0.171579186896239
1 0 1 0 0.151 -5.35213890805023e-5 0 0.171579186896239
1 1 1 0 0.151 -4.14906829197833e-7 -0.000205548144239395 0.171579186896239
1 -1 1 2 0.151 3.88348374718185e-5 -0.000167128213596775 0.171579186896239
1 0 1 2 0.151 0.000245457007245634 1.570e-20 0.171579186896239
1 1 1 2 0.151 -3.88348374718185e-5 -0.000167128213596775 0.171579186896239
1 -1 2 1 0.151 0.000217073669656112 4.38171545224262e-7 0.171579186896239
1 0 2 1 0.151 0 -5.65224481874474e-5 0.171579186896239
1 1 2 1 0.151 0.000217073669656112 -4.38171545224262e-7 0.171579186896239
1 -1 2 3 0.151 0.000183261820841698 3.42500203596383e-5 0.171579186896239
1 0 2 3 0.151 -1.359e-20 0.000206596515492851 0.171579186896239
1 1 2 3 0.151 0.000183261820841698 -3.42500203596383e-5 0.171579186896239
1 -1 0 1 0.364 -1.15997400159514e-5 1.15997400159514e-5 0.413608106160470
1 0 0 1 0.364 6.11e-21 9.02675150569375e-5 0.413608106160470
1 1 0 1 0.364 -1.15997400159514e-5 -1.15997400159514e-5 0.413608106160470
1 0 1 0 0.364 0.000116553509090182 0 0.413608106160470
1 -1 1 2 0.364 -7.78891794270110e-5 0.000160433557770029 0.413608106160470
1 0 1 2 0.364 -0.000359661770697942 5.26e-21 0.413608106160470
1 1 1 2 0.364 7.78891794270110e-5 0.000160433557770029 0.413608106160470
1 -1 1 0 0.364 -1.66935939089932e-5 0.000221629143288047 0.413608106160470
1 1 1 0 0.364 1.66935939089932e-5 0.000221629143288047 0.413608106160470
1 -1 2 1 0.364 -0.000468127069951710 -3.52592790655762e-5 0.413608106160470
1 0 2 1 0.364 0 0.000246012863839088 0.413608106160470
1 1 2 1 0.364 -0.000468127069951710 3.52592790655762e-5 0.413608106160470
1 -1 2 3 0.364 -0.000360464083436623 -0.000142922265580663 0.413608106160470
1 0 2 3 0.364 3.034e-20 -0.000591805073714781 0.413608106160470
