r l m Re(R) Im(R)
0.2 7 7 -0.0862670831876178 -0.0265266191221924
0.2 8 -8 0.0817138712305472 -0.0291843779497896
0.2 8 -6 0.0472750752606889 -0.0125027305341521
0.2 8 -4 0.0294704171981214 -0.00515715385400766
0.2 8 -2 0.0142723239458469 -0.00124718291865415
0.2 8 0 0.145120708484392 0
0.2 8 2 0.0142723239458470 0.00124718291865417
0.2 8 4 0.0294704171981213 0.00515715385400763
0.2 8 6 0.0472750752606889 0.0125027305341521
0.2 8 8 0.0817138712305472 0.0291843779497896
0.2 9 -9 0.0773146563851769 -0.0313943274365627
0.2 9 -7 0.0465960216665140 -0.0144839881289205
0.2 9 -5 0.0312175985818582 -0.00685915184065160
0.2 9 -3 0.0183085759353977 -0.00240384123416035
0.2 9 -1 0.00530184588439218 0.000802971029863569
0.2 9 1 -0.00530184588439226 0.000802971029863681
0.2 9 3 -0.0183085759353976 -0.00240384123416030
0.2 9 5 -0.0312175985818582 -0.00685915184065166
0.2 9 7 -0.0465960216665140 -0.0144839881289205
0.2 9 9 -0.0773146563851769 -0.0313943274365627
0.2 10 -10 0.0729322118499883 -0.0332980847880027
0.2 10 -8 0.0454567374677084 -0.0162860602851514
0.2 10 -6 0.0321093940181415 -0.00850825031735937
0.2 10 -4 0.0210014322273483 -0.00367732518610850
0.2 10 -2 0.0102428301377638 -0.000894017491544243
0.2 10 0 0.151190438193378 0
0.2 10 2 0.0102428301377638 0.000894017491544247
0.2 10 4 0.0210014322273483 0.00367732518610850
0.2 10 6 0.0321093940181415 0.00850825031735938
0.2 10 8 0.0454567374677083 0.0162860602851514
0.2 10 10 0.0729322118499883 0.0332980847880027
0.2 11 -11 0.0685906366294825 -0.0349261226409920
0.2 11 -9 0.0439978620359716 -0.0179222738753271
0.2 11 -7 0.0323957378743711 -0.0100904179989003
0.2 11 -5 0.0227948765086273 -0.00501196270976336
0.2 11 -3 0.0136041275050303 -0.00178269744881375
0.2 11 -1 0.00356409982888282 0.00116922963562605
0.2 11 1 -0.00356409982888280 0.00116922963562613
0.2 11 3 -0.0136041275050303 -0.00178269744881378
0.2 11 5 -0.0227948765086273 -0.00501196270976338
0.2 11 7 -0.0323957378743711 -0.0100904179989003
0.2 11 9 -0.0439978620359716 -0.0179222738753271
0.2 11 11 -0.0685906366294825 -0.0349261226409920
0.2 12 -12 0.0642946428821192 -0.0362696543815521
0.2 12 -10 0.0423031461514432 -0.0193799545216332
0.2 12 -8 0.0322298471310845 -0.0115770838279500
0.2 12 -6 0.0239304876667603 -0.00635288611107509
0.2 12 -4 0.0159723154012034 -0.00280015349024959
0.2 12 -2 0.00770679888829859 -0.000673455039112321
0.2 12 0 0.152152679019235 0
0.2 12 2 0.00770679888829862 0.000673455039112342
0.2 12 4 0.0159723154012034 0.00280015349024960
0.2 12 6 0.0239304876667603 0.00635288611107510
0.2 12 8 0.0322298471310845 0.0115770838279500
0.2 12 10 0.0423031461514431 0.0193799545216332
0.2 12 12 0.0642946428821192 0.0362696543815521
0.30000000000000004 0 0 -9.62223977480437 0
0.30000000000000004 1 -1 0.0968894249912178 -2.64473925780328
0.30000000000000004 1 1 -0.0968894249912178 -2.64473925780328
0.30000000000000004 2 -2 0.855708381601173 -0.00203319141374561
0.30000000000000004 2 0 0.720777299332455 0
0.30000000000000004 2 2 0.855708381601173 0.00203319141374560
0.30000000000000004 3 -3 0.0948642631217840 0.221384824845411
0.30000000000000004 3 -1 0.0249411652095199 0.174823223454673
0.30000000000000004 3 1 -0.0249411652095199 0.174823223454673
0.30000000000000004 3 3 -0.0948642631217840 0.221384824845411
